 Table 4. Sale prices statistics by NSW Postcode,,,,,,,,,,
Reporting period: July - September 2023,,,,,,,,,,
(s): 30 or fewer properties sold; (-): 10 or fewer properties sold,,,,,,,,,,
Read explanatory notes,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Postcode,Dwelling Type,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2065,Strata,890,1195,1650,1315,201,-9.71%,-0.42%,-0.50%,16.86%
2066,Total,748,920,1750,1585,163,-6.79%,-3.66%,9.40%,12.41%
2066,Non Strata,2978,3638,3945,3673,40,4.38%,34.72%,11.11%,-6.98%
2066,Strata,723,828,1000,906,123,-2.65%,2.99%,8.85%,20.59%
2067,Total,1197,1800,2755,2180,155,2.92%,-14.79%,20.16%,31.36%
2067,Non Strata,2493,3033,3778,3190,36,5.02%,16.63%,38.46%,38.46%
2067,Strata,1089,1600,2312,1874,119,8.36%,1.11%,15.53%,29.35%
2068,Total,1532,3050,4210,3012,81,3.98%,1.67%,15.71%,35.00%
2068,Non Strata,3063,3875,4714,3937,54,13.97%,10.09%,14.89%,20.00%
2068,Strata,878,1120,1466,1161,s,11.44%,-6.67%,17.39%,80.00%
2069,Total,1160,2752,3904,2825,60,84.66%,-16.62%,-6.25%,42.86%
2069,Non Strata,2805,3750,4765,3827,39,7.14%,6.53%,44.44%,21.88%
2069,Strata,826,916,1160,966,s,-16.73%,-13.38%,-43.24%,110.00%
2070,Total,1480,3050,3700,2761,61,10.91%,-3.60%,7.02%,90.63%
2070,Non Strata,3215,3643,4388,3868,32,-6.95%,-7.08%,0.00%,77.78%
2070,Strata,1023,1435,1705,1539,s,36.02%,13.44%,16.00%,107.14%
2071,Total,1210,3000,3588,2727,50,7.14%,-0.33%,-5.66%,16.28%
2071,Non Strata,3169,3525,4060,3745,s,-9.03%,-11.88%,-14.29%,15.38%
2071,Strata,920,1045,1501,1200,s,10.88%,3.98%,11.11%,17.65%
2072,Total,965,1400,3000,2001,39,28.44%,16.67%,-23.53%,-27.78%
2072,Non Strata,3200,4250,4740,4159,s,44.07%,4.94%,-26.67%,-31.25%
2072,Strata,904,1103,1441,1154,s,10.25%,7.56%,-22.22%,-26.32%
2073,Total,1280,2730,3450,2573,73,1.11%,8.76%,-5.19%,25.86%
2073,Non Strata,2745,3300,4000,3335,47,9.63%,26.16%,-12.96%,0.00%
2073,Strata,896,986,1295,1196,s,-12.01%,-32.96%,13.04%,136.36%
2074,Total,1176,2316,3463,2555,96,-13.60%,4.30%,9.09%,1.05%
2074,Non Strata,2576,3240,4046,3475,58,11.26%,20.00%,-9.37%,-4.92%
2074,Strata,803,975,1416,1149,38,-6.47%,-11.08%,58.33%,11.76%
2075,Total,1173,2478,3208,2408,104,0.18%,6.56%,5.05%,7.22%
2075,Non Strata,2766,3200,4000,3499,54,9.03%,15.32%,-6.90%,-10.00%
2075,Strata,936,1136,1623,1230,50,10.29%,-12.62%,21.95%,35.14%
2076,Total,1559,2184,2874,2245,114,-5.07%,0.05%,1.79%,23.91%
2076,Non Strata,2041,2450,3105,2681,83,-9.26%,1.66%,-1.19%,12.16%
2076,Strata,800,1000,1365,1078,31,3.63%,-2.44%,10.71%,72.22%
2077,Total,676,745,1270,969,245,-4.49%,-0.67%,16.11%,27.60%
2077,Non Strata,1520,1625,1820,1735,53,-2.40%,8.33%,-8.62%,-10.17%
2077,Strata,658,705,789,757,192,-2.08%,2.92%,25.49%,44.36%
2079,Total,981,1468,1614,1302,s,5.78%,27.61%,0.00%,12.00%
2079,Non Strata,1425,1570,1700,1529,s,-1.88%,13.15%,31.25%,16.67%
2079,Strata,-,-,-,-,-,-,-,-,-
2080,Total,-,-,-,-,-,-,-,-,-
2080,Non Strata,-,-,-,-,-,-,-,-,-
2081,Total,1323,1480,1618,1463,s,5.71%,8.82%,-21.05%,15.38%
2081,Non Strata,1323,1480,1618,1463,s,5.71%,8.82%,-21.05%,15.38%
2082,Total,1335,1437,1490,1424,s,8.93%,10.50%,62.50%,18.18%
2082,Non Strata,1335,1437,1490,1424,s,8.93%,10.50%,62.50%,18.18%
2083,Total,-,-,-,-,-,-,-,-,-
2083,Non Strata,-,-,-,-,-,-,-,-,-
2084,Total,-,-,-,-,-,-,-,-,-
2084,Non Strata,-,-,-,-,-,-,-,-,-
2085,Total,2080,2325,2500,2223,43,13.41%,15.21%,59.26%,30.30%
2085,Non Strata,2194,2350,2550,2343,39,11.90%,12.98%,69.57%,34.48%
2085,Strata,-,-,-,-,-,-,-,-,-
2086,Total,2030,2230,2418,2241,39,4.94%,15.54%,18.18%,18.18%
2086,Non Strata,2044,2240,2421,2251,38,5.41%,14.87%,15.15%,22.58%
2086,Strata,-,-,-,-,-,-,-,-,-
2087,Total,2181,2436,2781,2456,40,15.94%,13.30%,29.03%,8.11%
2087,Non Strata,2181,2436,2781,2456,40,7.67%,10.73%,53.85%,14.29%
2088,Total,1200,2420,4314,3408,163,5.68%,-6.02%,17.27%,13.19%
2088,Non Strata,4143,5210,7500,6414,59,-1.93%,5.25%,9.26%,5.36%
2088,Strata,984,1353,2315,1703,104,-5.76%,-1.46%,22.35%,18.18%
2089,Total,891,1367,2095,1676,82,-1.87%,5.12%,-8.89%,3.80%
2089,Non Strata,2828,3318,4141,3549,s,-1.78%,43.61%,-33.33%,100.00%
2089,Strata,846,1233,1796,1355,70,0.00%,-0.40%,-2.78%,-4.11%
2090,Total,1135,1500,2095,1779,83,7.53%,-13.92%,1.22%,29.69%
